date,temp,s
2021-09-26,19.8,80.9
2021-09-27,19,80.8
2021-09-28,19.5,82.1
2021-09-29,18.1,94.5
2021-09-30,19.4,82.9
2021-10-01,20,78.8
2021-10-02,20.1,78.8
2021-10-03,22.3,67
2021-10-04,25.1,61.8
2021-10-05,17.6,96.3
2021-10-06,16.5,96.1
2021-10-07,16.7,92.1
2021-10-08,17.1,97.8
2021-10-09,18.8,98.4
2021-10-10,21.9,76.8
2021-10-11,15.9,72.6
2021-10-12,16.9,75.1
2021-10-13,17.6,70.9
2021-10-14,19.7,70.8
2021-10-15,16.9,85.5
2021-10-16,12.8,60.6
2021-10-17,6.3,47.5
2021-10-18,11.4,49
2021-10-19,10.6,72.8
2021-10-20,9.2,73.4
2021-10-21,10.7,73.5
2021-10-22,10.8,72.4
2021-10-23,12.4,60.1
2021-10-24,13,47.8
2021-10-25,13.1,49.8
2021-10-26,15.9,45
2021-10-27,15.2,48.6
2021-10-28,13.1,48.9
2021-10-29,13.5,59
2021-10-30,13.9,59.3
2021-10-31,15.2,56.5
2021-11-01,14.5,61.4
2021-11-02,11.9,82.4
2021-11-03,13.5,71.8
2021-11-04,13.7,56.8
2021-11-05,14,60.4
2021-11-06,13.9,72.1
2021-11-07,14.1,69
2021-11-08,11.5,61.5
2021-11-09,7.1,49.8
2021-11-10,6.2,40.9
2021-11-11,6.5,39.3
2021-11-12,5.8,34.9
2021-11-13,9.2,41.5
2021-11-14,12.9,47.6
2021-11-15,11.3,47.6
2021-11-16,9.9,49.4
2021-11-17,9.8,38.5
2021-11-18,14.6,47.4
2021-11-19,15.8,51.6
2021-11-20,11.8,73.6
2021-11-21,12.2,74.1
2021-11-22,4.4,38.1
2021-11-23,1.1,26.9
2021-11-24,6.1,36.4
2021-11-25,8.7,28.6
2021-11-26,5.8,29.6
2021-11-27,3.4,46.1
2021-11-28,8.8,25.5
2021-11-29,11.7,30.6
2021-11-30,7.6,66.3
2021-12-01,0.1,35.9
2021-12-02,3.7,37.8
2021-12-03,3.8,30.6
2021-12-04,3,27
2021-12-05,4.7,44.4
2021-12-06,8.7,44
2021-12-07,7,73.3
2021-12-08,6.4,74.6
2021-12-09,7.9,65.5
2021-12-10,9,61.5
2021-12-11,8.3,57.6
2021-12-12,4.7,32.8
2021-12-13,0.2,30.5
2021-12-14,5.7,44.5
2021-12-15,8.7,54.1
2021-12-16,8.3,42.3
2021-12-17,-2.3,26.6
2021-12-18,-2.3,36.6
2021-12-19,2.1,33.6
2021-12-20,8.4,41.6
2021-12-21,8.9,39.6
2021-12-22,3.3,60.6
2021-12-23,3.2,59.3
2021-12-24,1.9,77
2021-12-25,-7.1,65.6
2021-12-26,-10.4,42.9
2021-12-27,-5.3,44.6
2021-12-28,0.4,41.9
2021-12-29,4,48.5
2021-12-30,-2.6,34.5
2021-12-31,-4.6,24.4
2021-01-01,-6.8,55.8
2021-01-02,-5.8,33.9
2021-01-03,-8.1,51.1
2021-01-04,-6.4,58.5
2021-01-05,-6.8,59.6
2021-01-06,-10,61
2021-01-07,-15.2,43.1
2021-01-08,-17.3,50.4
2021-01-09,-15.3,57.8
2021-01-10,-12.1,64.4
2021-01-11,-11.5,79
2021-01-12,-9.2,86.1
2021-01-13,-0.6,88.3
2021-01-14,-3,68.9
2021-01-15,-0.9,77.3
2021-01-16,-5,64.4
2021-01-17,-7.8,60.6
2021-01-18,-5.8,71.8
2021-01-19,-11.2,65.1
2021-01-20,-7.9,75.4
2021-01-21,-0.8,83.5
2021-01-22,2.5,98.8
2021-01-23,5.3,71.3
2021-01-24,2.8,81.3
2021-01-25,1.8,85.4
2021-01-26,1.6,96
2021-01-27,0.1,68.3
2021-01-28,-4.2,62.9
2021-01-29,-9.6,40
2021-01-30,-7,82.4
2021-01-31,-3,78.3
2021-02-01,3.3,75.5
2021-02-02,-4.9,36.9
2021-02-03,-4.7,58.8
2021-02-04,-5.1,54
2021-02-05,-1.9,78
2021-02-06,4.9,78.3
2021-02-07,2.4,65
2021-02-08,-3.7,48.5
2021-02-09,-3.1,56.8
2021-02-10,0.2,78
2021-02-11,0.8,82.8
2021-02-12,1.9,73.8
2021-02-13,2.7,66.9
2021-02-14,5.7,72.1
2021-02-15,1.3,61.8
2021-02-16,-5,43.1
2021-02-17,-8.8,35.3
2021-02-18,-7.8,51.4
2021-02-19,-1.5,66.1
2021-02-20,7.3,58.9
2021-02-21,8,64.6
2021-02-22,6.7,57
2021-02-23,-0.2,36.8
2021-02-24,-0.3,44.6
2021-02-25,-0.6,59.3
2021-02-26,3.3,56.6
2021-02-27,4.8,66.6
2021-02-28,4.6,64.4
2021-03-01,2.4,93.8
2021-03-02,0,84
2021-03-03,0.5,83.9
2021-03-04,2.6,85.5
2021-03-05,4.4,86
2021-03-06,3.2,70.4
2021-03-07,3.9,69.4
2021-03-08,4.3,64.9
2021-03-09,4.5,66.5
2021-03-10,5.8,67.5
2021-03-11,8,64
2021-03-12,8.8,69.9
2021-03-13,7.5,68
2021-03-14,7.3,76
2021-03-15,8.8,69.9
2021-03-16,9.8,52.4
2021-03-17,7.6,53.8
2021-03-18,9.7,57.9
2021-03-19,12.6,60.1
2021-03-20,9,84.5
2021-03-21,6.3,64.4
2021-03-22,5.3,48
2021-03-23,7.3,56.5
2021-03-24,8.1,60.8
2021-03-25,10.3,60.9
2021-03-26,10.8,55.1
2021-03-27,9.2,80.9
2021-03-28,10,94.9
2021-03-29,10.5,58.3
2021-03-30,9,56.3
2021-03-31,11.8,52.9
2021-04-01,14.1,46.4
2021-04-02,16.9,43.5
2021-04-03,12.1,87.5
2021-04-04,9.4,64.4
2021-04-05,9.1,57.8
2021-04-06,11.5,57.8
2021-04-07,11.8,53
2021-04-08,10.8,48.6
2021-04-09,10.8,45.8
2021-04-10,10.2,59.8
2021-04-11,12.9,56.1
2021-04-12,12.2,76.8
2021-04-13,12,69.5
2021-04-14,8.2,57.8
2021-04-15,9.7,60.5
2021-04-16,10.2,64.8
2021-04-17,5.9,75.6
2021-04-18,8.1,70.9
2021-04-19,12.5,58.3
2021-04-20,14.6,59.9
2021-04-21,17.5,57.4
2021-04-22,19.3,50
2021-04-23,17,48.3
2021-04-24,15.6,49.5
2021-04-25,14.8,51.3
2021-04-26,13.7,59
2021-04-27,14.6,62.9
2021-04-28,14,62
2021-04-29,11.5,70.9
2021-04-30,10.3,87
2021-05-01,9.4,88
2021-05-02,11.9,75.4
2021-05-03,12.6,63.1
2021-05-04,11,93.3
2021-05-05,13.9,61
2021-05-06,13.6,59.5
2021-05-07,12.6,73.4
2021-05-08,13.7,66.4
2021-05-09,14.9,47.8
2021-05-10,11.5,75.5
2021-05-11,16.5,56.1
2021-05-12,17.9,55
2021-05-13,20.4,67.8
2021-05-14,22,68.3
2021-05-15,20.8,87
2021-05-16,16.3,94.9
2021-05-17,13.7,93.5
2021-05-18,16.5,83.5
2021-05-19,18.5,68.4
2021-05-20,17.1,74.3
2021-05-21,15.3,84.8
2021-05-22,18.5,77.6
2021-05-23,19.1,73.4
2021-05-24,18.8,59.1
2021-05-25,12.6,83.1
2021-05-26,15.9,70.1
2021-05-27,14.7,92.6
2021-05-28,14.2,91.4
2021-05-29,15.3,81.9
2021-05-30,17.3,73.6
2021-05-31,18.2,88.3
2021-06-01,18.7,88.4
2021-06-02,20.9,75.3
2021-06-03,18.5,91.1
2021-06-04,18.2,65.8
2021-06-05,19.7,65.1
2021-06-06,20.8,73.4
2021-06-07,20.1,82.8
2021-06-08,19.8,84.5
2021-06-09,23,70.1
2021-06-10,23.3,77.1
2021-06-11,21.4,86.4
2021-06-12,23.3,76.6
2021-06-13,24.4,67.5
2021-06-14,23.8,64
2021-06-15,22.1,77
2021-06-16,22.7,64.3
2021-06-17,19.6,81.5
2021-06-18,21,89.5
2021-06-19,22,74.8
2021-06-20,22.5,73.3
2021-06-21,21.5,77.9
2021-06-22,18.9,90.8
2021-06-23,19.8,84.3
2021-06-24,22.2,77.8
2021-06-25,23.6,74
2021-06-26,20.5,94
2021-06-27,23.9,73.9
2021-06-28,22.9,82.5
2021-06-29,23.8,79.5
2021-06-30,23.6,85.5
2021-07-01,25.2,74.5
2021-07-02,24.5,74.6
2021-07-03,21.5,82.6
2021-07-04,21.4,96.8
2021-07-05,22.7,84.4
2021-07-06,24.2,82.3
2021-07-07,25.9,83
2021-07-08,25.2,84.6
2021-07-09,24.8,84
2021-07-10,24.1,90
2021-07-11,24.7,91.4
2021-07-12,26.6,82.9
2021-07-13,28,81
2021-07-14,28.7,78.8
2021-07-15,27,83.8
2021-07-16,27.4,77.4
2021-07-17,26.5,79.5
2021-07-18,27.6,76.3
2021-07-19,25.6,86.5
2021-07-20,26.9,80.6
2021-07-21,28.2,78
2021-07-22,28.3,71.4
2021-07-23,28.7,74.1
2021-07-24,29.5,73.8
2021-07-25,29.5,72
2021-07-26,29.3,72.6
2021-07-27,29.7,70
2021-07-28,28.7,70
2021-07-29,28.2,78.6
2021-07-30,29,77.1
2021-07-31,28.8,78.4
2021-08-01,26.8,88.4
2021-08-02,25.9,90.1
2021-08-03,26.9,86.5
2021-08-04,28,80.3
2021-08-05,27.8,79.9
2021-08-06,27.6,80.9
2021-08-07,26.9,78.4
2021-08-08,26.7,74.4
2021-08-09,26.9,66.3
2021-08-10,23.3,83.5
2021-08-11,24.3,83.1
2021-08-12,25.5,81.6
2021-08-13,25.7,76
2021-08-14,23.8,74.4
2021-08-15,24.2,70.9
2021-08-16,24.6,67.9
2021-08-17,24,69.1
2021-08-18,23.1,72.6
2021-08-19,23.4,66.6
2021-08-20,24.5,72.1
2021-08-21,22.4,94.3
2021-08-22,23.6,85.4
2021-08-23,21,96.1
2021-08-24,22.4,96.6
2021-08-25,23.7,91.9
2021-08-26,23.6,91.6
2021-08-27,21.2,94
2021-08-28,22.4,85.5
2021-08-29,22.1,87.4
2021-08-30,21.9,86.4
2021-08-31,19.5,96.1
2021-09-01,21.2,82.9
2021-09-02,23.1,69.9
2021-09-03,22.5,65.4
2021-09-04,20.2,67.8
2021-09-05,20.9,71.9
2021-09-06,21.2,71.5
2021-09-07,18.5,98.8
2021-09-08,21.7,83.3
2021-09-09,20.6,85.3
2021-09-10,21,85.8
2021-09-11,21,85.3
2021-09-12,21.6,81
2021-09-13,22.2,80.5
2021-09-14,23,66.8
2021-09-15,20.3,72.9
2021-09-16,21.4,68.8
2021-09-17,21.5,72
2021-09-18,21.9,74.6
2021-09-19,20.7,79.5
2021-09-20,21.6,71.4
2021-09-21,20.3,90
2021-09-22,19.4,83.5
2021-09-23,19.5,75.4
2021-09-24,20.2,77.5
2021-09-25,18.7,84.1
2021-09-26,20.2,71.6
2021-09-27,18.9,84
2021-09-28,20.3,83.6
2021-09-29,18.9,97.4
2021-09-30,18.1,91.5
2021-10-01,19.6,85.6
2021-10-02,18.6,83.5
2021-10-03,19.4,85.4
2021-10-04,19.2,96.5
2021-10-05,21.3,90.8
2021-10-06,17.8,90.3
2021-10-07,18.2,96
2021-10-08,18,96.4
2021-10-09,18.7,94.4
2021-10-10,19.2,95.8
2021-10-11,15.7,80.5
2021-10-12,17.1,70
2021-10-13,16.8,78.4
2021-10-14,18.2,81.9
2021-10-15,17.6,84.9
2021-10-16,11,57.3
2021-10-17,3.9,61.5
2021-10-18,7,74.4
2021-10-19,10.1,81.1
2021-10-20,6.9,79.9
2021-10-21,6.7,80.1
2021-10-22,7.5,81
2021-10-23,7.5,80.8
2021-10-24,6.9,83.1
2021-10-25,7.5,85
2021-10-26,8.7,89
2021-10-27,9.8,82
2021-10-28,9.2,72.6
2021-10-29,9,77.3
2021-10-30,9,84.6
2021-10-31,9.5,89.5
2021-11-01,9.9,83.3
2021-11-02,9.6,86.6
2021-11-03,10.8,75.9
2021-11-04,8.3,86.8
2021-11-05,8.5,86.9
2021-11-06,8.7,86.3
2021-11-07,11.3,75.8
2021-11-08,7.3,82.4
2021-11-09,4.8,75.9
2021-11-10,4.1,61.6
2021-11-11,3.8,61.9
2021-11-12,1.8,63.3
2021-11-13,3.4,76.4
2021-11-14,8,75.6
2021-11-15,5.4,82.1
2021-11-16,4.5,73.5
2021-11-17,3.3,74.6
2021-11-18,6.7,81.1
2021-11-19,11.6,82.9
2021-11-20,6.9,83.5
2021-11-21,7.8,87.5
2021-11-22,2.4,61
2021-11-23,-0.4,45.1
2021-11-24,2.6,60.1
2021-11-25,2.7,63
2021-11-26,0.3,64.8
2021-11-27,-0.7,70.8
2021-11-28,0.6,71.8
2021-11-29,2.4,79.3
2021-11-30,2.8,90.3
2021-12-01,-2.2,53.9
2021-12-02,-2.3,73.5
2021-12-03,0.1,57.5
2021-12-04,-1.9,62.4
2021-12-05,-1,73.1
2021-12-06,0.3,80.4
2021-12-07,2.1,85.8
2021-12-08,0,93.4
2021-12-09,0.4,96.6
2021-12-10,2.2,95.8
2021-12-11,3.6,91.1
2021-12-12,-0.3,67.5
2021-12-13,-4.9,57.1
2021-12-14,0.5,66.8
2021-12-15,3.5,94.6
2021-12-16,2.4,93.8
2021-12-17,-4.7,36
2021-12-18,-8,69.8
2021-12-19,-3.4,71.9
2021-12-20,1.3,81.5
2021-12-21,1.7,77.5
2021-12-22,-1.5,72
2021-12-23,-1.6,76.5
2021-12-24,-0.5,80.8
2021-12-25,-9.7,45.3
2021-12-26,-13,44.4
2021-12-27,-10.8,70.5
2021-12-28,-6.2,79.5
2021-12-29,-1.8,77.4
2021-12-30,-4.6,48.9
2021-12-31,-8.5,40.1
2021-01-01,-7.8,58.8
2021-01-02,-9,49.8
2021-01-03,-10,55.9
2021-01-04,-7.4,60.4
2021-01-05,-8.5,68.4
2021-01-06,-11.1,66.6
2021-01-07,-16.1,48.8
2021-01-08,-17,42.9
2021-01-09,-15.7,54.4
2021-01-10,-12.6,62.9
2021-01-11,-11.5,76.3
2021-01-12,-8.8,90
2021-01-13,-1.5,80.9
2021-01-14,-3.2,67.3
2021-01-15,1.1,83.5
2021-01-16,-6,68.8
2021-01-17,-8.9,67.6
2021-01-18,-5.8,73.1
2021-01-19,-11.3,65.6
2021-01-20,-5.9,68.6
2021-01-21,1.5,77.1
2021-01-22,3.5,99.6
2021-01-23,3.9,81.5
2021-01-24,2.6,86.1
2021-01-25,2.2,86.1
2021-01-26,2.1,98.6
2021-01-27,-0.7,63
2021-01-28,-4.7,62.3
2021-01-29,-11.1,42.8
2021-01-30,-6.2,75.3
2021-01-31,-0.8,72.9
2021-02-01,4.2,80
2021-02-02,-7.1,47.1
2021-02-03,-5.7,71.9
2021-02-04,-6.4,54.3
