date,변수X,전체평균
2022-12-05,48747903.31,2113132.153
2022-12-06,43507221.63,778325.8644
2022-12-07,45814079.24,1256101.972
2022-12-08,43981566.51,1204448.138
2022-12-09,57060975.42,3537773.864
2022-12-10,63706892.98,3575863.913
2022-12-11,64028328.05,3690556.382
2022-12-12,48711144.5,1995864.904
2022-12-13,43474414.61,711268.491
2022-12-14,45779532.71,1171500.528
2022-12-15,43948401.81,1122089.612
2022-12-16,57017948.06,3368519.03
2022-12-17,63658854.21,3405494.248
2022-12-18,63980046.9,3516211.244
2022-12-19,48674413.42,1885183.622
2022-12-20,43441632.33,648901.2972
2022-12-21,45745012.23,1092226.4
2022-12-22,43915262.11,1044955.994
2022-12-23,56974953.16,3207718.302
2022-12-24,63610851.67,3243601.976
2022-12-25,63931802.16,3350473.492
2022-12-26,48637710.03,1780710.65
2022-12-27,43408874.76,590918.6704
2022-12-28,45710517.78,1017951.306
2022-12-29,43882147.4,972723.9802
2022-12-30,56931990.67,3054928.829
2022-12-31,63562885.32,3089744.514
