금액,이용횟수
2721778,69
2640569,63
1555866,34
1102703,25
838786,21
198808,8
1109937,12
20500,1
267180,5
105500,1
70260,1
0,0
145010,10
152080,8
1272596,21
1474069,34
2802876,53
1501569,52
3922096,66
2942240,51
4772316,62
4458007,69
6761237,80
4163412,70
2166222,69
5060750,41
1509780,32
1256530,34
2360168,33
1698370,13
608851,13
237620,4
153706,2
129570,5
178530,3
59000,2
207775,11
606381,20
1497554,25
968410,37
6589663,58
3752480,79
7329601,61
3343037,47
2039661,64
2553545,55
2672082,42
3336319,73
2058266,49
2064144,48
1624848,39
3462959,48
1467515,28
1092708,23
2197005,13
186240,4
58400,5
94590,2
0,0
215110,4
189943,17
396476,13
2750904,31
2151912,39
9633320,59
3119554,94
1564192,56
2081208,52
918926,40
2347931,55
3946924,51
1365407,46
1605006,73
1653939,54
1751214,37
3147792,29
2157772,38
1022180,20
557442,18
309946,4
133503,4
149440,2
108240,2
252011,4
537272,15
838954,32
975200,23
1342966,48
5013926,65
2862692,88
1701121,56
2317090,53
2708055,56
1548475,37
7737645,57
9053540,58
2451514,57
1726350,47
1300476,35
1845329,45
1030079,24
1148847,19
944444,17
45490,2
120040,2
61890,2
3600,1
114408,3
624690,13
391367,21
1835849,31
1666004,50
2312345,71
2013970,74
3789285,70
1849447,52
922235,35
1936341,53
2050936,58
3499655,73
1539912,65
1747078,50
2017428,50
1222755,40
731895,25
1536522,25
613545,9
67840,2
174850,5
53426,1
3800,1
170990,4
665061,13
734191,21
1211150,34
2864910,36
9406255,76
6496959,93
4858309,65
3556660,55
4431460,63
6390400,67
3309905,56
4515980,108
2997010,68
2020325,47
1507740,42
1125670,29
1496622,32
2476690,17
1027602,17
115640,2
32182,2
406760,2
0,0
28810,2
677978,18
446119,12
1649136,29
1154843,35
2565236,54
15786321,86
2539866,69
4845811,79
5763981,94
4292930,76
8939668,76
8655929,72
14278440,75
19082473,60
3632394,48
2501129,33
3863255,43
776778,19
1796630,16
455931,6
262260,6
197890,1
162000,3
206800,6
404435,12
810380,11
634334,18
690380,24
1931726,52
2511145,61
8088140,57
3253153,56
6591912,53
5027270,57
7203058,85
3946308,85
3045792,57
1839697,46
2493481,52
1898274,40
779360,22
1605799,29
204280,9
308085,7
553925,3
11710,1
140715,4
0,0
97104,5
1500356,18
918472,17
749068,69
2167997,111
5257750,114
2003047,86
4155987,98
2206215,75
1944386,63
1132595,53
1559690,77
1934140,64
2914924,52
2149123,49
1223229,35
1703104,41
816940,27
440319,12
256135,7
121260,5
170684,5
61610,3
40400,5
179410,14
612028,20
6201974,30
1363362,41
1831536,66
3213750,74
2100766,65
2444429,56
4450739,52
1280443,46
1485690,51
1362340,59
2456927,77
2293734,54
2391318,41
932101,37
1004987,26
1137362,18
298741,5
81299,3
100,1
28460,1
80610,3
88416,8
418739,16
1463858,29
1046977,27
3345051,63
8533218,69
2259872,61
1430496,52
2072850,46
1998568,64
1449181,47
1682155,49
2399334,73
3602229,51
1875284,49
1543515,42
2165239,45
1165476,36
662053,16
336210,8
768388,5
0,0
89472,3
77550,1
119040,6
78600,7
854476,27
2146660,28
1555255,30
3781520,71
2523035,82
6747818,43
968880,35
2243048,62
1163366,44
1745984,55
1850362,68
11572702,66
1941350,65
993838,27
1058220,25
1296287,28
500427,15
337456,11
708510,7
208900,2
0,0
170731,4
52300,1
472224,11
728855,22
2099720,26
1548135,44
2377370,68
4221139,77
2285870,61
3966837,60
2475352,53
1709679,57
2501522,62
2028536,78
2139330,61
1923723,54
2706989,44
830502,28
1296438,22
622820,13
479229,10
174804,6
40880,1
86480,2
102380,3
94285,3
371622,12
826323,14
1582262,19
1755224,30
2834205,50
1196358,54
2384709,60
4035792,77
15191227,58
8817138,88
8964821,91
4554697,78
4343064,59
2831481,61
1775965,57
1670101,27
1077223,26
957880,13
225540,10
276546,8
0,0
52900,1
248970,2
0,0
169185,20
1790280,12
1370729,23
1250887,29
4997795,43
1477173,41
6616900,49
1954268,57
4140647,48
3701100,67
5230124,74
3350351,60
3618466,75
4436494,51
1283741,37
1779900,33
2392504,71
1642733,68
1439669,31
245136,11
184080,3
172570,4
54010,2
8080,1
288690,15
653779,22
537898,17
2637207,50
4557027,73
3541760,75
5305540,82
3373380,74
8218269,71
3527692,88
4365544,83
3926776,82
2158566,61
2535230,52
3151292,51
2604213,51
2998941,41
1285686,35
1043890,11
427830,8
76000,3
121250,2
291510,2
1300950,5
1126826,14
1036369,27
943620,23
935912,39
13769298,58
2130367,63
2340423,52
1543927,45
1144721,39
1095739,35
1654230,39
2102975,66
6771262,74
2024422,38
2544080,54
1923080,43
1867294,31
3148213,28
583855,11
72220,2
25016,1
114350,2
355437,4
1454210,9
743590,11
901758,18
2264300,38
3005785,42
1496010,40
2755872,80
2126096,57
2535702,54
1073222,33
2450004,48
2682168,45
9614204,57
1755607,45
2217381,58
2770648,51
3267346,56
3468764,32
1512243,14
1549411,17
37960,3
168740,4
26924,1
9900,1
399515,5
517891,15
1420404,20
1525559,22
1262269,33
22446384,58
3191350,68
1800351,49
1677771,39
1331731,43
1377777,45
6419653,44
2419021,60
2049266,60
1996138,47
2515245,48
1580947,39
1369373,28
1688281,21
272540,5
172260,4
62950,3
0,0
0,0
253430,6
486509,18
552775,19
679493,26
1152393,43
9471697,68
7952972,77
3313572,66
2492749,69
3246121,63
2490150,49
10766883,58
6289682,80
2637669,55
1613560,48
1995862,44
1958269,46
1948372,36
611990,15
1355490,14
79220,2
121090,2
333315,3
26000,2
136140,2
371421,12
1349409,19
1027217,17
2894416,35
4198010,72
4775216,63
2861962,78
7115367,67
2562800,66
9347470,66
19530988,96
5878160,84
3822196,69
1898805,40
2306043,52
3420463,37
806839,17
2220058,24
657550,7
423620,5
79070,2
16900,1
168890,2
128320,3
299385,12
765065,16
1576884,27
2275534,40
2977942,74
2391866,62
8269964,71
3688550,61
7137690,75
2712167,73
3724969,72
3815269,76
2013869,52
1649204,53
3784650,55
1327330,35
1786768,32
3450878,37
1123760,16
705094,9
382911,7
367920,3
168660,5
245060,5
965545,21
2167478,24
1624488,35
2356458,64
1584751,58
7668585,96
2726541,103
1884157,147
3727263,79
2776931,72
3176269,82
2200869,71
1947864,57
7274225,76
3268082,79
4423826,57
5683282,74
727910,15
333020,10
104230,4
120860,2
118540,2
21520,2
49900,2
316390,22
1268760,23
1371771,27
1980519,52
1963461,54
6322622,80
7083586,58
4118931,49
2037781,47
3164045,64
1399710,45
2032490,61
2393101,57
1464278,43
1466956,41
2133923,44
2226040,28
824277,19
147442,4
4770,1
143653,2
142490,1
79430,3
395127,10
226850,11
922301,23
1694740,32
1712355,46
2267877,64
2516756,65
1164727,50
1852134,61
2066455,66
2253270,54
2398707,64
2958067,61
2223706,51
5111362,43
1306929,41
1386462,27
2570251,24
1445101,14
427370,12
312940,8
159350,3
228219,4
81504,2
143410,3
2172420,25
560213,29
1164170,40
1531642,34
2953297,86
3022003,81
2119503,50
1748147,48
2722398,83
3511440,70
1734922,61
3506080,88
1775620,63
1455546,44
1690795,47
2589829,36
1450788,35
792970,20
295664,6
279040,8
72700,1
0,0
59100,2
113950,2
152637,10
581770,20
6725989,43
6910090,45
4082677,74
6563627,79
1947620,59
1785630,55
1670349,60
2328006,62
13261429,75
2973980,77
3508061,78
3496833,55
1449557,27
1597415,47
1245059,27
797857,19
58470,4
208550,5
5000,1
3200,1
86680,3
0,0
194450,8
712977,12
2278379,31
2252790,45
1853090,50
3637465,67
5720580,78
2810835,49
6086408,74
4384494,80
4776194,85
3918598,73
4063650,59
3662407,55
4893095,44
1880172,41
887561,20
791978,16
210011,5
292990,4
34020,1
63320,2
48020,2
163320,4
201868,13
704460,13
504645,12
1649472,39
8289940,66
4156455,74
12767153,64
5907120,63
2956959,59
6126362,86
4731633,72
7965221,76
2935159,64
1282540,36
3685407,42
2249376,40
1968824,39
824760,26
719819,11
66153,7
41500,3
26303,1
145330,3
82990,4
1703080,16
764385,20
1082595,27
